delever: the census describes another tree (stamp edd0ed12e734c92d); rerun tools/lever_census.py --sites -j 16 — running the census now
gte_consolidate --apply gte2: 244 files of 468 with work (400 done) — 960 definitions, 240 direct statements
05:59:03   src/ov_SC03_105/ov_SC03_105_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_107/ov_SC03_107_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_116/ov_SC03_116_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_108/ov_SC03_108_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_109/ov_SC03_109_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_113/ov_SC03_113_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_110/ov_SC03_110_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_112/ov_SC03_112_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_111/ov_SC03_111_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_114/ov_SC03_114_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
