delever: the census describes another tree (stamp 95f31b0d3534a95a); rerun tools/lever_census.py --sites -j 16 — running the census now
gte_consolidate --apply gte1: 400 files of 644 with work (0 done) — 8141 definitions, 897 direct statements
05:49:47   src/ov_SC03_092/ov_SC03_092_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:48   src/ov_SC03_089/ov_SC03_089_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:48   src/ov_SC03_031/ov_SC03_031_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:48   src/ov_SC03_090/ov_SC03_090_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:49   src/ov_SC03_100/ov_SC03_100_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:49   src/ov_SC03_093/ov_SC03_093_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:49   src/ov_SC03_094/ov_SC03_094_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:50   src/ov_SC03_097/ov_SC03_097_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:50   src/ov_SC03_103/ov_SC03_103_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:51   src/ov_SC03_098/ov_SC03_098_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:51   src/ov_SC03_095/ov_SC03_095_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:51   src/ov_SC03_096/ov_SC03_096_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:51   src/ov_SC03_099/ov_SC03_099_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:52   src/ov_SC03_101/ov_SC03_101_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:53   src/ov_SC03_107/ov_SC03_107.c: CONSOLIDATED — deleted 29 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:53   src/ov_SC03_102/ov_SC03_102_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
